[Thread 3] Time: 5.950000, Process 2, Finished.
[Thread 3] Time: 5.950000, Process 1, Resumed.
[Thread 3] Time: 6.355000, Process 1, Paused.
[Thread 3] Time: 6.355000, Process 1, Resumed.
[Thread 3] Time: 6.719500, Process 1, Paused.
[Thread 3] Time: 6.719500, Process 1, Resumed.
[Thread 3] Time: 7.047550, Process 1, Paused.
[Thread 3] Time: 7.047550, Process 1, Resumed.
[Thread 3] Time: 7.342795, Process 1, Paused.
[Thread 3] Time: 7.342795, Process 1, Resumed.
[Thread 3] Time: 7.608516, Process 1, Paused.
[Thread 3] Time: 7.608516, Process 1, Resumed.
[Thread 3] Time: 7.847664, Process 1, Paused.
[Thread 3] Time: 7.847664, Process 1, Resumed.
[Thread 3] Time: 8.062898, Process 1, Paused.
[Thread 3] Time: 8.062898, Process 1, Resumed.
[Thread 3] Time: 8.256608, Process 1, Paused.
[Thread 3] Time: 8.256608, Process 1, Resumed.
[Thread 3] Time: 8.430947, Process 1, Paused.
[Thread 3] Time: 8.430947, Process 1, Resumed.
[Thread 3] Time: 8.587852, Process 1, Paused.
[Thread 3] Time: 8.587852, Process 1, Resumed.
[Thread 3] Time: 8.729067, Process 1, Paused.
[Thread 3] Time: 8.729067, Process 1, Resumed.
[Thread 3] Time: 8.856160, Process 1, Paused.
[Thread 3] Time: 8.856160, Process 1, Resumed.
[Thread 3] Time: 8.970544, Process 1, Paused.
[Thread 3] Time: 8.970544, Process 1, Resumed.
[Thread 3] Time: 9.073490, Process 1, Paused.
[Thread 3] Time: 9.073490, Process 1, Resumed.
[Thread 3] Time: 9.166141, Process 1, Paused.
[Thread 3] Time: 9.166141, Process 1, Resumed.
[Thread 3] Time: 9.249527, Process 1, Paused.
[Thread 3] Time: 9.249527, Process 1, Resumed.
[Thread 3] Time: 9.324574, Process 1, Paused.
[Thread 3] Time: 9.324574, Process 1, Resumed.
[Thread 3] Time: 9.392117, Process 1, Paused.
[Thread 3] Time: 9.392117, Process 1, Resumed.
[Thread 3] Time: 9.452905, Process 1, Paused.
[Thread 3] Time: 9.452905, Process 1, Resumed.
[Thread 3] Time: 9.507615, Process 1, Paused.
[Thread 3] Time: 9.507615, Process 1, Resumed.
[Thread 3] Time: 9.556853, Process 1, Paused.
[Thread 3] Time: 9.556853, Process 1, Resumed.
[Thread 3] Time: 9.601168, Process 1, Paused.
[Thread 3] Time: 9.601168, Process 1, Resumed.
[Thread 3] Time: 9.641051, Process 1, Paused.
[Thread 3] Time: 9.641051, Process 1, Resumed.
[Thread 3] Time: 9.676946, Process 1, Paused.
[Thread 3] Time: 9.676946, Process 1, Resumed.
[Thread 3] Time: 9.709251, Process 1, Paused.
[Thread 3] Time: 9.709251, Process 1, Resumed.
[Thread 3] Time: 9.738326, Process 1, Paused.
[Thread 3] Time: 9.738326, Process 1, Resumed.
[Thread 3] Time: 9.764494, Process 1, Paused.
[Thread 3] Time: 9.764494, Process 1, Resumed.
[Thread 3] Time: 9.788044, Process 1, Paused.
[Thread 3] Time: 9.788044, Process 1, Resumed.
[Thread 3] Time: 9.809240, Process 1, Paused.
[Thread 3] Time: 9.809240, Process 1, Resumed.
[Thread 3] Time: 9.828316, Process 1, Paused.
[Thread 3] Time: 9.828316, Process 1, Resumed.
[Thread 3] Time: 9.845484, Process 1, Paused.
[Thread 3] Time: 9.845484, Process 1, Resumed.
[Thread 3] Time: 9.860936, Process 1, Paused.
[Thread 3] Time: 9.860936, Process 1, Resumed.
[Thread 3] Time: 9.874842, Process 1, Paused.
[Thread 3] Time: 9.874842, Process 1, Resumed.
[Thread 3] Time: 9.887358, Process 1, Paused.
[Thread 3] Time: 9.887358, Process 1, Resumed.
[Thread 3] Time: 9.898622, Process 1, Paused.
[Thread 3] Time: 9.898622, Process 1, Resumed.
[Thread 3] Time: 9.908760, Process 1, Paused.
[Thread 3] Time: 9.908760, Process 1, Resumed.
[Thread 3] Time: 10.000000, Process 1, Finished.
---------------------------------------------------------------------
Waiting Times:
Process 1: 4.000000
Process 2: 0.950000
Process 3: 0.000000
